CustomerID,Tenure,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,OrderCount,OrderAmountHikeFromlastYear,CouponUsed,CashbackAmount
50001,4.0,3.0,3,Laptop & Accessory,1.0,11.0,1.0,160
50002,,3.0,4,Mobile,1.0,15.0,0.0,121
50003,,2.0,4,Mobile,1.0,14.0,0.0,120
50004,0.0,2.0,4,Laptop & Accessory,1.0,23.0,0.0,134
50005,0.0,,3,Mobile,1.0,11.0,1.0,130
50006,0.0,3.0,5,Mobile Phone,6.0,22.0,4.0,139
50007,,2.0,3,Laptop & Accessory,1.0,14.0,0.0,121
50008,,3.0,3,Mobile,2.0,16.0,2.0,123
50009,13.0,,4,Mobile,1.0,14.0,0.0,127
50010,,2.0,5,Mobile,1.0,12.0,1.0,123
50011,4.0,2.0,3,Others,15.0,,9.0,295
50012,11.0,3.0,4,Fashion,1.0,13.0,0.0,154
50013,0.0,2.0,3,Mobile,2.0,13.0,2.0,134
50014,0.0,3.0,4,Mobile,1.0,17.0,0.0,134
50015,9.0,3.0,4,Fashion,4.0,16.0,0.0,196
50016,,3.0,3,Mobile,1.0,22.0,1.0,121
50017,0.0,,4,Mobile,1.0,18.0,1.0,129
50018,0.0,2.0,4,Laptop & Accessory,1.0,11.0,1.0,157
50019,0.0,3.0,5,Laptop & Accessory,1.0,24.0,1.0,161
50020,19.0,3.0,3,Mobile Phone,4.0,18.0,1.0,150
50021,0.0,3.0,5,Laptop & Accessory,7.0,18.0,6.0,162
50022,20.0,3.0,3,Fashion,15.0,12.0,11.0,203
50023,,2.0,3,Mobile Phone,1.0,19.0,0.0,117
50024,0.0,3.0,5,Laptop & Accessory,2.0,11.0,1.0,146
50025,14.0,2.0,5,Fashion,1.0,15.0,0.0,207
50026,0.0,2.0,3,Mobile Phone,1.0,22.0,1.0,142
50027,8.0,3.0,3,Fashion,1.0,13.0,1.0,173
50028,,2.0,3,Laptop & Accessory,4.0,20.0,0.0,123
50029,18.0,2.0,3,Laptop & Accessory,1.0,18.0,1.0,123
50030,5.0,2.0,3,Fashion,3.0,14.0,2.0,190
50031,2.0,2.0,3,Laptop & Accessory,1.0,13.0,0.0,143
50032,0.0,2.0,4,Laptop & Accessory,1.0,17.0,1.0,161
50033,30.0,3.0,4,Mobile,1.0,20.0,1.0,133
50034,13.0,3.0,4,Fashion,2.0,11.0,2.0,209
50035,,3.0,3,Mobile,1.0,18.0,1.0,122
50036,0.0,3.0,3,Mobile,2.0,24.0,0.0,123
50037,,2.0,3,Mobile,2.0,18.0,0.0,120
50038,1.0,,3,Mobile,1.0,11.0,0.0,127
50039,30.0,2.0,2,Fashion,1.0,16.0,1.0,194
50040,0.0,3.0,4,Mobile,1.0,15.0,0.0,126
50041,23.0,2.0,3,Others,4.0,,2.0,299
50042,14.0,2.0,3,Mobile,1.0,12.0,1.0,125
50043,3.0,2.0,3,Fashion,7.0,12.0,2.0,194
50044,11.0,2.0,4,Laptop & Accessory,1.0,22.0,1.0,187
50045,5.0,,3,Mobile,1.0,20.0,0.0,130
50046,0.0,,3,Mobile,1.0,16.0,1.0,131
50047,0.0,3.0,5,Mobile,1.0,21.0,1.0,123
50048,,1.0,3,Mobile,7.0,12.0,4.0,121
50049,3.0,,3,Laptop & Accessory,6.0,11.0,0.0,131
50050,18.0,1.0,3,Laptop & Accessory,1.0,11.0,0.0,150
50051,29.0,3.0,3,Mobile Phone,2.0,18.0,1.0,143
50052,6.0,2.0,3,Mobile,1.0,14.0,0.0,125
50053,0.0,2.0,4,Mobile Phone,1.0,22.0,0.0,111
50054,19.0,3.0,3,Fashion,15.0,25.0,4.0,205
50055,,3.0,3,Mobile,2.0,12.0,1.0,123
50056,4.0,3.0,3,Mobile Phone,1.0,23.0,1.0,139
50057,,3.0,3,Mobile,1.0,15.0,1.0,123
50058,4.0,,3,Mobile,1.0,22.0,0.0,131
