CustomerID,Churn,SatisfactionScore,Complain,DaySinceLastOrder,WarehouseToHome
50001,1,2,1,5.0,6.0
50002,1,3,1,0.0,8.0
50003,1,3,1,3.0,30.0
50004,1,5,0,3.0,15.0
50005,1,5,0,3.0,12.0
50006,1,5,1,7.0,22.0
50007,1,2,0,0.0,11.0
50008,1,2,1,0.0,6.0
50009,1,3,1,2.0,9.0
50010,1,3,0,1.0,31.0
50011,1,3,0,8.0,18.0
50012,1,3,1,0.0,6.0
50013,1,3,1,2.0,11.0
50014,1,3,1,0.0,15.0
50015,1,2,0,7.0,15.0
50016,1,5,1,2.0,12.0
50017,1,2,1,0.0,12.0
50018,1,3,1,3.0,11.0
50019,1,3,1,6.0,13.0
50020,1,4,1,3.0,20.0
50021,1,3,1,7.0,12.0
50022,1,2,0,6.0,29.0
50023,1,3,1,0.0,28.0
50024,1,3,1,2.0,26.0
50025,1,2,0,3.0,14.0
50026,1,5,0,4.0,15.0
50027,0,4,0,6.0,6.0
50028,0,3,1,5.0,12.0
50029,0,4,0,15.0,
50030,0,2,0,7.0,14.0
50031,0,3,0,9.0,6.0
50032,0,3,0,0.0,13.0
50033,0,4,1,0.0,15.0
50034,0,2,0,11.0,10.0
50035,0,3,0,2.0,8.0
50036,0,2,0,2.0,
50037,0,4,0,2.0,15.0
50038,0,2,0,2.0,27.0
50039,0,2,1,4.0,30.0
50040,0,3,1,1.0,
50041,0,4,0,4.0,17.0
50042,0,3,0,8.0,
50043,0,2,0,4.0,11.0
50044,0,2,0,1.0,6.0
50045,0,3,0,4.0,12.0
50046,0,4,1,1.0,23.0
50047,1,5,0,0.0,
50048,0,4,0,2.0,9.0
50049,0,5,0,10.0,15.0
50050,0,5,1,3.0,10.0
50051,0,5,1,2.0,14.0
50052,0,2,0,2.0,
50053,1,2,0,0.0,8.0
50054,0,5,0,7.0,6.0
50055,0,2,0,1.0,15.0
50056,0,2,1,2.0,18.0
50057,0,4,0,2.0,33.0
50058,1,4,1,2.0,26.0
50059,0,3,0,2.0,6.0
50060,0,5,0,3.0,19.0
50061,0,4,0,6.0,20.0
50062,0,3,0,9.0,10.0
50063,0,4,0,15.0,20.0
50064,0,3,0,9.0,8.0
50065,0,4,0,0.0,9.0
50066,0,3,0,9.0,6.0
50067,0,4,0,3.0,15.0
50068,1,3,1,1.0,29.0
50069,0,2,0,2.0,13.0
50070,0,2,0,8.0,8.0
50071,0,5,1,7.0,27.0
50072,0,4,0,2.0,8.0
50073,0,3,0,2.0,27.0
50074,0,3,0,0.0,8.0
50075,0,2,0,7.0,35.0
50076,0,5,0,0.0,6.0
50077,0,2,1,7.0,24.0
50078,0,3,1,0.0,16.0
50079,0,2,1,7.0,25.0
50080,1,5,1,0.0,35.0
50081,1,2,0,9.0,33.0
50082,0,4,1,2.0,
50083,0,2,0,7.0,24.0
50084,0,2,0,2.0,15.0
50085,0,5,0,3.0,6.0
50086,1,2,0,8.0,10.0
50087,0,3,0,8.0,6.0
50088,0,3,0,7.0,26.0
50089,0,4,0,,14.0
50090,1,5,1,4.0,
50091,0,2,1,0.0,12.0
50092,1,5,0,1.0,32.0
50093,1,3,0,5.0,6.0
50094,0,2,0,8.0,12.0
50095,0,5,0,5.0,9.0
50096,0,4,0,7.0,11.0
50097,0,4,0,1.0,
50098,0,2,1,,17.0
50099,0,3,0,13.0,9.0
50100,0,3,0,4.0,6.0
50101,0,2,0,0.0,9.0
50102,0,2,0,8.0,10.0
50103,0,2,0,1.0,6.0
50104,0,3,0,8.0,6.0
50105,1,2,1,1.0,
50106,0,2,0,2.0,8.0
50107,0,2,0,15.0,10.0
50108,0,3,0,2.0,12.0
50109,0,2,0,6.0,6.0
50110,1,2,1,4.0,
50111,0,2,1,9.0,22.0
50112,1,5,0,7.0,8.0
50113,0,3,1,12.0,8.0
50114,0,4,0,2.0,10.0
50115,1,3,1,2.0,6.0
50116,0,3,0,2.0,6.0
50117,0,2,0,2.0,32.0
50118,0,5,0,0.0,25.0
50119,0,2,0,7.0,30.0
50120,0,2,0,7.0,6.0
50121,0,3,0,2.0,9.0
50122,0,2,0,2.0,11.0
50123,0,5,0,9.0,8.0
50124,0,5,0,2.0,6.0
50125,0,3,0,2.0,13.0
50126,1,3,0,0.0,16.0
50127,0,3,0,,8.0
50128,0,2,0,5.0,
50129,0,5,1,2.0,23.0
50130,0,2,0,2.0,26.0
50131,0,3,0,2.0,6.0
50132,0,5,1,8.0,
50133,0,3,0,9.0,8.0
50134,0,2,0,0.0,6.0
50135,1,4,0,4.0,35.0
50136,0,4,0,3.0,13.0
50137,0,2,0,5.0,8.0
50138,0,5,0,4.0,8.0
50139,0,4,1,7.0,8.0
50140,1,3,0,0.0,8.0
50141,0,4,0,0.0,8.0
50142,0,2,0,8.0,29.0
50143,0,5,0,5.0,11.0
50144,0,2,1,10.0,26.0
50145,0,2,0,11.0,12.0
50146,0,5,1,13.0,6.0
50147,1,4,1,,35.0
50148,0,2,0,4.0,15.0
50149,0,2,0,1.0,12.0
50150,0,3,0,0.0,9.0
50151,0,2,1,2.0,6.0
50152,0,4,0,,28.0
50153,0,5,1,7.0,13.0
50154,0,4,0,4.0,6.0
50155,0,4,0,6.0,10.0
50156,0,3,1,3.0,9.0
50157,0,3,0,6.0,6.0
50158,0,2,0,9.0,8.0
50159,0,2,1,8.0,26.0
50160,0,5,1,3.0,17.0
50161,0,2,0,7.0,6.0
50162,1,3,1,0.0,30.0
