CustomerID,Gender,MaritalStatus,CityTier,PreferredLoginDevice,PreferredPaymentMode,NumberOfAddress
50001,Female,Single,3,Mobile Phone,Debit Card,9
50002,Male,Single,1,Phone,UPI,7
50003,Male,Single,1,Phone,Debit Card,6
50004,Male,Single,3,Phone,Debit Card,8
50005,Male,Single,1,Phone,CC,3
50006,Female,Single,1,Computer,Debit Card,2
50007,Male,Divorced,3,Phone,Cash on Delivery,4
50008,Male,Divorced,1,Phone,CC,3
50009,Male,Divorced,3,Phone,E wallet,2
50010,Male,Single,1,Phone,Debit Card,2
50011,Female,Divorced,1,Mobile Phone,Cash on Delivery,2
50012,Male,Single,1,Mobile Phone,Debit Card,10
50013,Male,Single,1,Phone,COD,2
50014,Male,Divorced,1,Phone,CC,1
50015,Male,Single,3,Mobile Phone,Credit Card,2
50016,Male,Married,2,Phone,UPI,5
50017,Female,Single,1,Computer,Debit Card,2
50018,Male,Single,3,Mobile Phone,E wallet,2
50019,Male,Single,1,Computer,Debit Card,2
50020,Female,Divorced,1,Mobile Phone,Debit Card,10
50021,Male,Divorced,3,Mobile Phone,Debit Card,5
50022,Female,Divorced,1,Mobile Phone,Credit Card,2
50023,Male,Single,3,Mobile Phone,E wallet,2
50024,Female,Divorced,3,Phone,Debit Card,4
50025,Male,Single,1,Computer,Debit Card,3
50026,Female,Single,1,Phone,Credit Card,8
50027,Male,Divorced,3,Mobile Phone,E wallet,2
50028,Male,Divorced,3,Phone,E wallet,3
50029,Male,Married,1,Phone,Debit Card,9
50030,Female,Single,3,Computer,E wallet,2
50031,Male,Divorced,1,Computer,COD,2
50032,Male,Divorced,1,Mobile Phone,Credit Card,3
50033,Female,Divorced,1,Phone,CC,5
50034,Male,Divorced,3,Mobile Phone,E wallet,8
50035,Female,Divorced,3,Computer,E wallet,7
50036,Male,Divorced,1,Phone,CC,2
50037,Male,Married,1,Computer,CC,7
50038,Male,Divorced,1,Phone,CC,2
50039,Male,Married,1,Mobile Phone,Debit Card,4
50040,Male,Married,1,Computer,CC,2
50041,Female,Single,1,Mobile Phone,Debit Card,4
50042,Male,Married,1,Phone,Debit Card,5
50043,Female,Divorced,3,Mobile Phone,Debit Card,3
50044,Female,Single,3,Mobile Phone,Debit Card,5
50045,Male,Single,1,Phone,Debit Card,4
50046,Male,Divorced,1,Phone,COD,1
50047,Female,Single,3,Computer,COD,1
50048,Male,Single,1,Computer,CC,5
50049,Male,Married,1,Computer,CC,2
50050,Female,Married,3,Mobile Phone,Debit Card,5
50051,Female,Married,1,Phone,Debit Card,5
50052,Male,Single,1,Phone,Debit Card,1
50053,Male,Single,1,Mobile Phone,Debit Card,2
50054,Female,Married,3,Mobile Phone,E wallet,2
50055,Female,Single,1,Phone,Debit Card,2
50056,Female,Divorced,1,Phone,Credit Card,9
50057,Female,Single,1,Phone,CC,3
50058,Female,Single,3,Phone,E wallet,2
50059,Male,Divorced,1,Phone,Credit Card,3
50060,Female,Married,1,Phone,Credit Card,2
50061,Female,Divorced,1,Phone,CC,2
50062,Female,Divorced,1,Mobile Phone,Credit Card,2
